"@timestamp per 32 milliseconds","host.hostname.keyword: Descending",filters,Count
"15:12:40.768",milaws0002ealp,"""Sending results""",0
"15:12:40.768",PARALI3402EAWP,"""Sending results""",0
"15:12:40.800",parsfr0011ealp,"""Sending results""",0
"15:12:40.832",milaws0001ealp,"""Sending results""",0
"15:12:40.864",parobs0901ealp,"""Sending results""",0
"15:12:40.896",PARSFR0143EAWP,"""Sending results""",0
"15:12:40.928",PARSFR0138EAWP,"""Sending results""",0
"15:12:40.960",milaws0004ealp,"""Sending results""",0
"15:12:41.056",parsfr0005ealp,"""Sending results""",1
"15:12:41.344",parobs2101ealp,"""Sending results""",1
"15:12:41.376",PAROBS1502EAWP,"""Sending results""",1
"15:12:41.600",PAROBS2004EAWP,"""Sending results""",0
"15:12:41.632",milaws0003ealp,"""Sending results""",1
"15:12:41.728",parsfr0001ealp,"""Sending results""",1
"15:12:41.728",PARSFR0147EAWP,"""Sending results""",0
"15:12:41.760",milaws0002ealp,"""Sending results""",1
"15:12:41.760",PARSFR0005EAWP,"""Sending results""",1
"15:12:41.824",PAROBS2002EAWP,"""Sending results""",1
"15:12:41.824",PARSFR0148EAWP,"""Sending results""",0
"15:12:41.824",parsfr0011ealp,"""Sending results""",1
"15:12:41.824",milaws0001ealp,"""Sending results""",0
"15:12:41.856",milaws0001ealp,"""Sending results""",1
"15:12:41.856",parobs0901ealp,"""Sending results""",1
"15:12:41.888",PARSFR0143EAWP,"""Sending results""",1
"15:12:41.920",PAROBS0703EAWP,"""Sending results""",1
"15:12:41.952",milaws0004ealp,"""Sending results""",0
"15:12:42.016",PAROBS1002EAWP,"""Sending results""",0
"15:12:42.016",PARSFR0116EAWP,"""Sending results""",0
"15:12:42.016",PARSFR0138EAWP,"""Sending results""",0
"15:12:42.048",parobs1501ealp,"""Sending results""",1
"15:12:42.112",PARSFR0122EAWP,"""Sending results""",0
"15:12:42.208",PAROBS1201EAWP,"""Sending results""",0
